ImageId_ClassId,EncodedPixels
004f40c73.jpg_1,1 1
004f40c73.jpg_2,1 1
004f40c73.jpg_3,1 1
004f40c73.jpg_4,1 1
006f39c41.jpg_1,1 1
006f39c41.jpg_2,1 1
006f39c41.jpg_3,1 1
006f39c41.jpg_4,1 1
00b7fb703.jpg_1,1 1
00b7fb703.jpg_2,1 1
00b7fb703.jpg_3,1 1
00b7fb703.jpg_4,1 1
00bbcd9af.jpg_1,1 1
00bbcd9af.jpg_2,1 1
00bbcd9af.jpg_3,1 1
00bbcd9af.jpg_4,1 1
0108ce457.jpg_1,1 1
0108ce457.jpg_2,1 1
0108ce457.jpg_3,1 1
0108ce457.jpg_4,1 1
0109b68ec.jpg_1,1 1
0109b68ec.jpg_2,1 1
0109b68ec.jpg_3,1 1
0109b68ec.jpg_4,1 1
010ec96b4.jpg_1,1 1
010ec96b4.jpg_2,1 1
010ec96b4.jpg_3,1 1
010ec96b4.jpg_4,1 1
015be539e.jpg_1,1 1
015be539e.jpg_2,1 1
015be539e.jpg_3,1 1
015be539e.jpg_4,1 1
017bd7ce3.jpg_1,1 1
017bd7ce3.jpg_2,1 1
017bd7ce3.jpg_3,1 1
017bd7ce3.jpg_4,1 1
01b47d973.jpg_1,1 1
01b47d973.jpg_2,1 1
01b47d973.jpg_3,1 1
01b47d973.jpg_4,1 1
01d49cd47.jpg_1,1 1
01d49cd47.jpg_2,1 1
01d49cd47.jpg_3,1 1
01d49cd47.jpg_4,1 1
020ffb2d3.jpg_1,1 1
020ffb2d3.jpg_2,1 1
020ffb2d3.jpg_3,1 1
020ffb2d3.jpg_4,1 1
0241cf678.jpg_1,1 1
0241cf678.jpg_2,1 1
0241cf678.jpg_3,1 1
0241cf678.jpg_4,1 1
02662fd2f.jpg_1,1 1
02662fd2f.jpg_2,1 1
02662fd2f.jpg_3,1 1
02662fd2f.jpg_4,1 1
0280c72a9.jpg_1,1 1
0280c72a9.jpg_2,1 1
0280c72a9.jpg_3,1 1
0280c72a9.jpg_4,1 1
02aeac4e1.jpg_1,1 1
02aeac4e1.jpg_2,1 1
02aeac4e1.jpg_3,1 1
02aeac4e1.jpg_4,1 1
02d5824f4.jpg_1,1 1
02d5824f4.jpg_2,1 1
02d5824f4.jpg_3,1 1
02d5824f4.jpg_4,1 1
0312942d7.jpg_1,1 1
0312942d7.jpg_2,1 1
0312942d7.jpg_3,1 1
0312942d7.jpg_4,1 1
037e7564c.jpg_1,1 1
037e7564c.jpg_2,1 1
037e7564c.jpg_3,1 1
037e7564c.jpg_4,1 1
0384b28ff.jpg_1,1 1
0384b28ff.jpg_2,1 1
0384b28ff.jpg_3,1 1
0384b28ff.jpg_4,1 1
03bb32e93.jpg_1,1 1
03bb32e93.jpg_2,1 1
03bb32e93.jpg_3,1 1
03bb32e93.jpg_4,1 1
04922a23f.jpg_1,1 1
04922a23f.jpg_2,1 1
04922a23f.jpg_3,1 1
04922a23f.jpg_4,1 1
04bb7b026.jpg_1,1 1
04bb7b026.jpg_2,1 1
04bb7b026.jpg_3,1 1
04bb7b026.jpg_4,1 1
04e78fd86.jpg_1,1 1
04e78fd86.jpg_2,1 1
04e78fd86.jpg_3,1 1
04e78fd86.jpg_4,1 1
059750041.jpg_1,1 1
059750041.jpg_2,1 1
059750041.jpg_3,1 1
059750041.jpg_4,1 1
05affe001.jpg_1,1 1
05affe001.jpg_2,1 1
05affe001.jpg_3,1 1
05affe001.jpg_4,1 1
05cb27a3f.jpg_1,1 1
05cb27a3f.jpg_2,1 1
05cb27a3f.jpg_3,1 1
05cb27a3f.jpg_4,1 1
05d93a09f.jpg_1,1 1
05d93a09f.jpg_2,1 1
05d93a09f.jpg_3,1 1
05d93a09f.jpg_4,1 1
05e054571.jpg_1,1 1
05e054571.jpg_2,1 1
05e054571.jpg_3,1 1
05e054571.jpg_4,1 1
05e460c81.jpg_1,1 1
05e460c81.jpg_2,1 1
05e460c81.jpg_3,1 1
05e460c81.jpg_4,1 1
06010432e.jpg_1,1 1
06010432e.jpg_2,1 1
06010432e.jpg_3,1 1
06010432e.jpg_4,1 1
064151eee.jpg_1,1 1
064151eee.jpg_2,1 1
064151eee.jpg_3,1 1
064151eee.jpg_4,1 1
064abd7c5.jpg_1,1 1
064abd7c5.jpg_2,1 1
064abd7c5.jpg_3,1 1
064abd7c5.jpg_4,1 1
06706aba1.jpg_1,1 1
06706aba1.jpg_2,1 1
06706aba1.jpg_3,1 1
06706aba1.jpg_4,1 1
06708f73c.jpg_1,1 1
06708f73c.jpg_2,1 1
06708f73c.jpg_3,1 1
06708f73c.jpg_4,1 1
0693ae6fd.jpg_1,1 1
0693ae6fd.jpg_2,1 1
0693ae6fd.jpg_3,1 1
0693ae6fd.jpg_4,1 1
06dc73f58.jpg_1,1 1
06dc73f58.jpg_2,1 1
06dc73f58.jpg_3,1 1
06dc73f58.jpg_4,1 1
078248a24.jpg_1,1 1
078248a24.jpg_2,1 1
078248a24.jpg_3,1 1
078248a24.jpg_4,1 1
0783111db.jpg_1,1 1
0783111db.jpg_2,1 1
0783111db.jpg_3,1 1
0783111db.jpg_4,1 1
078b924cd.jpg_1,1 1
078b924cd.jpg_2,1 1
078b924cd.jpg_3,1 1
078b924cd.jpg_4,1 1
078f4f53a.jpg_1,1 1
078f4f53a.jpg_2,1 1
078f4f53a.jpg_3,1 1
078f4f53a.jpg_4,1 1
0793dde4e.jpg_1,1 1
0793dde4e.jpg_2,1 1
0793dde4e.jpg_3,1 1
0793dde4e.jpg_4,1 1
07ab05fc1.jpg_1,1 1
07ab05fc1.jpg_2,1 1
07ab05fc1.jpg_3,1 1
07ab05fc1.jpg_4,1 1
